Bedrooms,Bathrooms,Land area,CV,Latitude,Longitude,SA1,0-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60+ years,Suburbs,CU18,NZDep2018
5,3.0,714.0,960000,-37.0129205,174.90406940000003,7009770,48,27,24,21,24,21,37,174,6.0
5,3.0,564.0,1250000,-37.0636724,174.9229121,7009991,42,18,12,21,15,30,14,129,1.0
6,4.0,626.0,1250000,-37.063579700000005,174.9240444,7009991,42,18,12,21,15,30,14,129,1.0
2,1.0,65.0,740000,-36.9129964,174.78742490000002,7007871,42,6,21,21,12,15,14,120,2.0
3,1.0,601.0,630000,-36.979036900000004,174.8926119,7008902,93,27,33,30,21,33,3,231,9.0
3,1.0,100.0,1050000,-36.943928899999996,174.78050149999999,7007917,63,15,24,33,30,39,13,195,4.0
3,1.0,531.0,2525000,-36.849238899999996,174.73445130000002,7004908,33,12,18,12,15,9,5,102,4.0
3,2.0,1024.0,1400000,-36.9077,174.7960425,7005903,36,33,39,21,12,24,2,162,4.0
3,2.0,80.0,475000,-37.033322399999996,174.89811310000002,7009808,45,27,15,12,12,12,37,126,10.0
4,2.0,204.0,660000,-36.8462083,174.62079440000002,7003826,30,27,36,15,24,12,15,141,6.0
4,2.0,170.0,900000,-36.8462083,174.62079440000002,7003826,30,27,36,15,24,12,15,141,6.0
4,2.0,170.0,660000,-36.8462083,174.62079440000002,7003826,30,27,36,15,24,12,15,141,6.0
3,1.0,637.0,920000,-36.7925353,174.7272634,7002805,42,33,36,30,24,24,2,189,2.0
3,1.0,640.0,570000,-37.0251198,174.87963100000002,7009565,69,33,24,21,15,9,37,171,10.0
4,2.0,650.0,1150000,-36.9040755,174.69425690000003,7004424,54,45,33,18,18,6,23,174,9.0
3,1.0,138.0,1200000,-36.9184475,174.7177085,7007562,51,36,30,18,18,36,26,183,9.0
2,1.0,75.0,640000,-36.9185162,174.7192568,7007562,51,36,30,18,18,36,26,183,9.0
5,3.0,724.0,640000,-36.621938899999996,174.6639437,7001422,51,54,66,24,9,12,6,219,2.0
5,3.0,429.0,1180000,-36.6233277,174.66401430000002,7001422,51,54,66,24,9,12,6,219,2.0
5,3.0,520.0,590000,-36.621938899999996,174.6639437,7001422,51,54,66,24,9,12,6,219,2.0
3,1.0,1381.0,2080000,-36.910598,174.7633054,7007751,27,36,24,18,12,9,2,135,7.0
5,4.0,732.0,1800000,-36.7506011,174.67955849999998,7002324,63,27,24,51,30,18,1,213,1.0
4,2.0,799.0,1145000,-36.8896501,174.67460690000001,7004268,48,24,30,24,18,27,23,162,6.0
3,1.0,1105.0,920000,-36.9284876,174.6694885,7007391,72,21,30,33,27,15,12,198,6.0
3,1.0,463.0,1500000,-36.8721796,174.7386307,7004956,21,33,18,24,21,12,1,132,5.0
3,2.0,681.0,1100000,-36.9014454,174.915807,7006932,12,12,15,12,15,24,2,90,3.0
3,2.0,4068.0,710000,-36.6192234,174.7798928,7001678,51,18,15,27,36,42,1,189,1.0
2,1.0,106.0,1020000,-36.887909,174.8432822,7006356,45,18,42,51,18,42,5,213,3.0
3,1.0,713.0,1150000,-36.8924701,174.71401530000003,7004636,51,39,15,21,45,33,9,198,1.0
3,2.0,211.0,1600000,-36.8540672,174.8347488,7006277,24,18,27,24,18,51,11,168,3.0
3,2.0,402.0,1280000,-36.9031776,174.7684391,7005632,30,24,18,15,15,30,23,132,2.0
3,1.0,883.0,2150000,-36.9033021,174.7686074,7005632,30,24,18,15,15,30,23,132,2.0
5,3.0,883.0,2425000,-36.903732399999996,174.77070469999998,7005632,30,24,18,15,15,30,23,132,2.0
